Node	IntradayPrice
2	23.111000000000004
3	23.1
4	23.078000000000003
5	23.573
6	21.769000000000002
7	19.822000000000003
8	11.143000000000002
9	13.211
10	15.851
11	23.342000000000002
12	23.793
13	23.111000000000004
14	23.1
15	23.078000000000003
16	23.573
17	21.769000000000002
18	19.822000000000003
19	11.143000000000002
20	13.211
21	15.851
22	23.342000000000002
23	23.793
24	23.111000000000004
25	23.1
26	23.078000000000003
27	23.573
28	21.769000000000002
29	19.822000000000003
30	11.143000000000002
31	13.211
32	15.851
33	23.342000000000002
34	23.793
35	23.111000000000004
36	23.1
37	23.078000000000003
38	23.573
39	21.769000000000002
40	19.822000000000003
41	11.143000000000002
42	13.211
43	15.851
44	23.342000000000002
45	23.793
46	23.111000000000004
47	23.1
48	23.078000000000003
49	23.573
50	20.6160186170213
51	20.6241265197568
52	20.6322344224924
53	20.640342325228
54	20.6484502279635
55	20.6565581306991
56	20.6646660334347
57	20.6727739361702
58	20.6808818389058
59	20.6889897416413
60	20.6970976443769
61	20.7052055471125
62	20.713313449848
63	20.7214213525836
